Hidden Size,Num Layers,Learning Rate,Best Val Loss,Test MSE,Test RMSE,Test MAE,Stopped Epoch,Train Time (s)
256,4,0.0005,0.003581628669053316,364.16815185546875,19.08319029553153,12.75175952911377,100,137.70720028877258
256,4,0.001,0.003722837893292308,368.500732421875,19.196372897552155,12.308241844177246,70,95.99015259742737
128,2,0.0005,0.0043853792594745755,434.9827880859375,20.856240986475427,14.417140007019043,100,95.81750679016113
256,2,0.0005,0.003843654878437519,447.03668212890625,21.143241996650048,14.075138092041016,100,91.68184161186218
128,4,0.001,0.003715141210705042,449.5563049316406,21.202742863404268,14.910805702209473,100,184.10374212265015
256,1,0.001,0.004669964779168367,453.7797546386719,21.302106812206905,14.435834884643555,100,59.87959837913513
128,1,0.001,0.004634142387658358,456.426025390625,21.364129408675304,14.333734512329102,100,54.655322790145874
128,4,0.0001,0.004575993865728378,484.3397216796875,22.007719592899385,14.720852851867676,100,183.39916801452637
256,4,0.0001,0.004446905222721398,485.9212341308594,22.043621166470345,14.632938385009766,100,143.01014685630798
128,4,0.0005,0.004687355365604162,507.77923583984375,22.53395739411619,14.99609661102295,63,115.9336838722229
64,2,0.0005,0.004376968834549189,513.9782104492188,22.67108754447432,15.516843795776367,100,59.93924522399902
64,4,0.0005,0.004128123167902231,517.9722290039062,22.759003251546545,15.205682754516602,100,91.70808744430542
64,4,0.001,0.004377092933282256,519.5949096679688,22.794624578351115,15.234197616577148,93,85.44231939315796
64,2,0.001,0.004247644217684865,521.7958374023438,22.842850903561573,14.923925399780273,100,60.22880291938782
128,1,0.0005,0.005046814447268844,521.8848876953125,22.844800014342706,16.08579444885254,100,54.95831513404846
256,2,0.001,0.003971109865233302,523.2329711914062,22.87428624441441,15.57177734375,92,77.30828261375427
256,2,0.0001,0.0053580207750201225,525.6653442382812,22.927392879223778,15.40803337097168,100,84.78617548942566
64,4,0.0001,0.005304444348439574,558.0731201171875,23.62357128203074,15.907368659973145,100,91.6949851512909
128,2,0.0001,0.005531995091587305,560.048583984375,23.66534563416252,16.167572021484375,100,95.94558215141296
64,1,0.001,0.0056506372056901455,584.3349609375,24.17302134482779,17.360376358032227,65,42.67937469482422
256,1,0.0005,0.0052454189863055944,624.2190551757812,24.984376221466512,17.083656311035156,100,59.473931312561035
256,1,0.0001,0.0062234969809651375,631.4088745117188,25.12785057484461,17.6856632232666,100,59.21409869194031
64,1,0.0005,0.005172285949811339,660.3423461914062,25.697127197245344,17.503189086914062,100,56.57593774795532
64,2,0.0001,0.006302606780081987,668.280029296875,25.851112728408328,18.27959442138672,100,60.089767932891846
128,1,0.0001,0.0067999258171767,718.67626953125,26.80813812131029,18.219161987304688,100,54.850552797317505
128,2,0.001,0.004236393724568188,819.5711669921875,28.628153398223006,17.7789306640625,100,95.53686594963074
64,1,0.0001,0.01028348715044558,1083.1015625,32.91050839017836,22.926143646240234,100,46.89181613922119
